product_id,revenue
184,10418.40
87,53328.84
477,61024.98
273,5520.24
51,13169.64
394,42120.1
272,29979.5
70,2019.36
190,9076.25
350,4065.6
278,25738.75
406,56099.84
424,31785.93
176,35240.92
309,6922.4
292,24460.18
22,46284.70
271,19889.16
156,27899.55
417,15339.79
475,15634.08
282,36588.20
390,3850.24
173,22174.08
269,33836.32
261,20614.72
42,4253.18
189,15083.76
161,35074.60
117,18138.14
257,34542.30
113,33541.20
125,29433.87
40,34347.6
43,39044.60
120,41764.45
440,46580.38
187,34540.56
349,19457.76
57,10930.72
19,19543.95
160,37024.47
357,23160.64
242,4217.36
331,34045.08
266,62255.97
315,56638.12
366,28376.88
307,28332.76
91,4299.4
54,27688.75
29,25941.95
305,5904.36
4,45340.8
181,30423.31
96,649.44
466,79228.48
201,41144.74
10,35322.50
35,33754.06
107,17972.79
6,47817.48
446,8660.08
86,56407.05
220,3672.97
400,31379.4
219,2597.92
175,54179.95
241,29910.06
363,17186.13
285,65361.28
50,18155.04
231,33562.94
66,31931.97
340,6441.84
356,763.49
13,44546.76
391,48774.00
487,10366.20
414,46732.40
458,32423.58
2,29949.92
368,10059.60
246,48221.62
75,10382.97
128,28698.75
166,23161.41
344,14349.96
142,34149.58
410,42018.90
152,5320.32
428,48025.6
355,27718.53
222,8541.48
381,50185.60
38,66278.84
359,31351.14
193,27264.17
164,44147.8
453,26274.81
217,10498.45
186,48902.56
47,47899.62
177,26810.5
182,62006.25
18,40623.2
110,43489.46
145,3151.15
27,34135.50
143,47707.35
496,16798.95
58,2035.20
228,54243.2
485,52166.84
294,4895.66
229,45696.42
481,24513.00
304,29816.64
52,38250.03
382,22837.05
438,24174.00
258,14367.10
378,53568.75
341,5728.71
483,27564.68
450,13156.71
405,1940.68
84,59016.12
170,6035.44
192,33848.98
276,24551.80
101,4532.48
473,43687.68
69,30981.86
379,13570.12
320,38093.94
375,45407.34
115,47833.34
97,15084.86
415,76347.20
108,51543.26
408,45078.96
59,47753.46
127,45019.80
329,52397.80
44,60668.94
11,11549.23
401,48827.35
153,24469.04
279,27648.0
214,48031.13
9,24344.32
419,9122.4
457,39104.66
85,37633.05
281,9459.52
95,43842.78
259,11440.5
172,32588.40
302,57813.75
409,4220.10
30,17648.24
21,18491.96
288,7761.76
3,66325.77
324,14220.00
398,8116.79
249,50698.66
255,25321.62
388,35584.64
165,7968.9
56,42933.66
151,51177.61
209,21228.35
296,25162.02
74,47233.66
34,38137.75
138,54618.15
418,4419.39
205,18938.40
245,26582.24
67,32234.82
407,44582.54
325,32133.18
90,48124.92
387,38711.76
443,26016.12
484,54186.08
334,16018.59
144,34295.94
39,18502.80
168,30889.23
471,27860.45
393,20783.32
287,30592.80
464,27042.75
312,36399.46
167,29814.61
498,40771.45
277,45629.53
290,63571.26
469,11538.45
494,60166.40
118,19938.6
300,15809.64
284,17573.74
317,3615.19
342,56970.06
488,25752.51
126,4200.36
194,47028.45
360,64734.06
463,15360.46
99,38058.57
476,16135.14
367,47397.60
374,29521.36
41,9491.05
206,34387.79
46,58464.62
439,2360.80
224,49575.68
53,54331.2
32,35598.16
336,37025.87
318,1547.28
275,2877.36
247,20432.28
260,4167.45
423,52980.3
136,36877.68
354,8746.8
442,16784.28
139,34251.12
12,10967.58
479,46760.40
293,13984.58
411,19644.1
425,14868.0
495,27160.24
154,60367.7
234,766.35
316,32515.08
403,27378.66
474,5069.07
256,14588.58
332,33082.88
33,21828.8
422,11419.50
185,41254.2
264,39840.66
215,4939.2
380,37813.37
130,24033.10
270,52339.32
23,59343.84
435,14230.88
486,22950.20
384,25884.91
351,12691.85
116,74973.01
314,25412.44
386,21689.75
431,20290.27
426,8664.60
364,12214.08
433,48353.80
491,61237.59
462,63152.28
169,61237.19
299,59425.45
92,46334.97
345,23562.56
436,57131.36
180,30418.31
437,29150.10
236,59587.13
263,20300.73
197,30860.56
135,19625.39
493,34992.16
454,9132.57
470,28133.71
482,25205.05
227,12900.96
500,62009.20
478,8293.34
149,7807.76
311,34443.36
73,3939.84
103,37672.15
280,1720.00
121,51723.0
239,51162.42
88,31143.00
420,8146.17
188,57171.51
461,31434.20
240,10120.77
328,5139.89
196,39994.3
291,37805.56
15,26491.5
226,30267.24
210,40182.66
48,29521.65
447,42928.98
298,22716.15
81,46398.41
61,46749.5
244,72301.82
468,37783.42
251,17062.08
204,36136.4
104,22376.36
5,39944.04
171,32564.88
456,65167.20
397,23368.76
427,31603.88
283,48465.90
347,12319.38
179,22109.76
297,37500.36
361,44986.02
321,9445.00
303,52841.16
105,8598.8
402,53593.52
472,8447.28
444,30567.24
445,59744.79
233,24188.85
89,39845.28
93,10141.00
373,29348.8
252,32753.3
343,27472.86
31,41272.60
467,42169.48
327,65488.21
253,32257.80
14,4802.84
497,36652.52
109,11919.4
155,55485.28
133,29601.48
416,9290.16
195,65792.44
199,31490.80
372,2198.85
369,7498.05
441,3173.08
339,26482.5
243,45730.0
335,3903.9
383,36101.08
230,38598.12
301,39751.75
7,38486.83
254,52854.96
377,53859.96
78,32420.28
159,54027.0
250,26520.95
432,15985.44
20,63198.96
319,48042.38
1,9107.8
76,45407.34
106,14226.32
178,8951.52
129,18129.04
203,11826.00
8,38933.19
346,3062.32
455,25753.56
370,44575.44
71,34356.48
267,43000.65
68,6997.92
448,15352.15
146,9128.79
80,32600.7
396,6166.60
162,18252.8
132,43440.64
322,58050.57
389,8248.41
330,22785.0
237,31341.84
451,14120.40
262,13744.76
323,32383.80
337,30793.83
348,31722.35
114,18722.42
60,36806.0
238,53817.12
399,6040.98
112,26476.1
268,23149.38
289,17634.24
65,60645.51
124,30951.04
452,4181.22
98,1976.08
200,28648.88
490,59977.26
235,10115.00
82,24847.87
119,30846.06
286,5445.70
