product_id,revenue,rank
466,79228.48,1
148,77012.68,2
415,76347.20,3
183,75354.72,4
116,74973.01,5
244,72301.82,6
413,68086.26,7
55,67854.24,8
3,66325.77,9
38,66278.84,10
195,65792.44,11
327,65488.21,12
285,65361.28,13
456,65167.20,14
64,64884.60,15
360,64734.06,16
365,63835.75,17
290,63571.26,18
20,63198.96,19
462,63152.28,20
266,62255.97,21
500,62009.20,22
182,62006.25,23
491,61237.59,24
169,61237.19,25
477,61024.98,26
44,60668.94,27
65,60645.51,28
154,60367.7,29
494,60166.40,30
490,59977.26,31
445,59744.79,32
236,59587.13,33
299,59425.45,34
23,59343.84,35
84,59016.12,36
46,58464.62,37
322,58050.57,38
302,57813.75,39
412,57498.39,40
26,57229.52,41
188,57171.51,42
436,57131.36,43
131,57005.52,44
342,56970.06,45
315,56638.12,46
86,56407.05,47
406,56099.84,48
155,55485.28,49
138,54618.15,50
492,54410.07,51
53,54331.2,52
228,54243.2,53
484,54186.08,54
175,54179.95,55
159,54027.0,56
102,53877.5,57
377,53859.96,58
238,53817.12,59
402,53593.52,60
378,53568.75,61
87,53328.84,62
423,52980.3,63
72,52879.68,64
141,52874.62,65
254,52854.96,66
303,52841.16,67
208,52585.20,68
329,52397.80,69
270,52339.32,70
485,52166.84,71
121,51723.0,72
225,51600.64,73
108,51543.26,74
158,51485.04,75
385,51235.41,76
151,51177.61,77
239,51162.42,78
249,50698.66,79
381,50185.60,80
224,49575.68,81
186,48902.56,82
401,48827.35,83
391,48774.00,84
283,48465.90,85
433,48353.80,86
246,48221.62,87
90,48124.92,88
319,48042.38,89
214,48031.13,90
428,48025.6,91
47,47899.62,92
115,47833.34,93
6,47817.48,94
59,47753.46,95
143,47707.35,96
367,47397.60,97
460,47389.84,98
74,47233.66,99
194,47028.45,100
479,46760.40,101
61,46749.5,102
414,46732.40,103
440,46580.38,104
81,46398.41,105
92,46334.97,106
22,46284.70,107
243,45730.0,108
229,45696.42,109
277,45629.53,110
122,45534.06,111
76,45407.34,112
375,45407.34,112
4,45340.8,114
408,45078.96,115
127,45019.80,116
361,44986.02,117
174,44596.52,118
407,44582.54,119
370,44575.44,120
13,44546.76,121
164,44147.8,122
95,43842.78,123
473,43687.68,124
110,43489.46,125
132,43440.64,126
267,43000.65,127
56,42933.66,128
447,42928.98,129
28,42902.08,130
362,42865.68,131
24,42620.31,132
213,42521.76,133
63,42337.68,134
467,42169.48,135
394,42120.1,136
410,42018.90,137
120,41764.45,138
31,41272.60,139
185,41254.2,140
201,41144.74,141
498,40771.45,142
18,40623.2,143
210,40182.66,144
196,39994.3,145
5,39944.04,146
306,39872.82,147
89,39845.28,148
264,39840.66,149
301,39751.75,150
191,39747.68,151
457,39104.66,152
43,39044.60,153
8,38933.19,154
459,38855.94,155
387,38711.76,156
230,38598.12,157
7,38486.83,158
52,38250.03,159
34,38137.75,160
320,38093.94,161
99,38058.57,162
380,37813.37,163
291,37805.56,164
468,37783.42,165
103,37672.15,166
85,37633.05,167
297,37500.36,168
94,37287.18,169
336,37025.87,170
160,37024.47,171
136,36877.68,172
430,36866.08,173
60,36806.0,174
497,36652.52,175
282,36588.20,176
312,36399.46,177
204,36136.4,178
383,36101.08,179
32,35598.16,180
388,35584.64,181
25,35381.13,182
10,35322.50,183
176,35240.92,184
161,35074.60,185
493,34992.16,186
421,34932.32,187
62,34795.68,188
308,34778.88,189
257,34542.30,190
187,34540.56,191
311,34443.36,192
206,34387.79,193
71,34356.48,194
40,34347.6,195
144,34295.94,196
139,34251.12,197
142,34149.58,198
27,34135.50,199
331,34045.08,200
465,33873.12,201
192,33848.98,202
269,33836.32,203
35,33754.06,204
338,33619.56,205
231,33562.94,206
353,33542.1,207
113,33541.20,208
332,33082.88,209
77,32968.06,210
333,32785.20,211
252,32753.3,212
216,32719.04,213
358,32626.44,214
80,32600.7,215
172,32588.40,216
171,32564.88,217
316,32515.08,218
458,32423.58,219
78,32420.28,220
323,32383.80,221
253,32257.80,222
67,32234.82,223
429,32179.68,224
198,32140.78,225
325,32133.18,226
66,31931.97,227
45,31836.36,228
424,31785.93,229
348,31722.35,230
134,31615.02,231
427,31603.88,232
199,31490.80,233
461,31434.20,234
400,31379.4,235
359,31351.14,236
237,31341.84,237
88,31143.00,238
69,30981.86,239
124,30951.04,240
168,30889.23,241
197,30860.56,242
119,30846.06,243
337,30793.83,244
287,30592.80,245
444,30567.24,246
49,30466.25,247
181,30423.31,248
180,30418.31,249
83,30306.54,250
226,30267.24,251
272,29979.5,252
2,29949.92,253
241,29910.06,254
304,29816.64,255
167,29814.61,256
133,29601.48,257
48,29521.65,258
374,29521.36,259
16,29453.24,260
125,29433.87,261
373,29348.8,262
437,29150.10,263
128,28698.75,264
200,28648.88,265
366,28376.88,266
307,28332.76,267
100,28271.36,268
470,28133.71,269
156,27899.55,270
471,27860.45,271
355,27718.53,272
54,27688.75,273
279,27648.0,274
483,27564.68,275
343,27472.86,276
480,27389.34,277
403,27378.66,278
193,27264.17,279
495,27160.24,280
464,27042.75,281
177,26810.5,282
245,26582.24,283
250,26520.95,284
15,26491.5,285
339,26482.5,286
112,26476.1,287
453,26274.81,288
137,26204.16,289
443,26016.12,290
29,25941.95,291
384,25884.91,292
455,25753.56,293
488,25752.51,294
278,25738.75,295
314,25412.44,296
255,25321.62,297
482,25205.05,298
296,25162.02,299
82,24847.87,300
276,24551.80,301
481,24513.00,302
153,24469.04,303
292,24460.18,304
9,24344.32,305
233,24188.85,306
438,24174.00,307
130,24033.10,308
345,23562.56,309
397,23368.76,310
166,23161.41,311
357,23160.64,312
268,23149.38,313
486,22950.20,314
326,22875.48,315
382,22837.05,316
330,22785.0,317
298,22716.15,318
104,22376.36,319
163,22226.82,320
173,22174.08,321
179,22109.76,322
395,21994.24,323
499,21899.40,324
33,21828.8,325
386,21689.75,326
209,21228.35,327
393,20783.32,328
261,20614.72,329
352,20503.75,330
247,20432.28,331
263,20300.73,332
431,20290.27,333
17,20167.42,334
118,19938.6,335
271,19889.16,336
376,19799.22,337
411,19644.1,338
135,19625.39,339
19,19543.95,340
349,19457.76,341
205,18938.40,342
114,18722.42,343
123,18652.91,344
79,18564.14,345
39,18502.80,346
21,18491.96,347
212,18319.55,348
162,18252.8,349
50,18155.04,350
117,18138.14,351
129,18129.04,352
211,18066.00,353
107,17972.79,354
